gender,age,parental_education_level,family_income,daily_study_hours,attendance_rate,sleep_hours,stress_level,motivation_score,private_tutoring,internet_quality,math_score,reading_score,writing_score,pass_fail
Male,18,4,55000.0,3.2,0.908,7.6,7.0,33,False,4,27,48,59,Fail
Male,21,1,15000.0,3.4,0.867,7.9,3.0,30,False,3,44,65,68,Fail
Female,19,6,70000.0,3.8,0.888,7.2,7.0,41,False,3,46,66,46,Fail
Female,15,5,40000.0,3.5,0.943,,,41,False,3,32,35,46,Fail
Male,22,2,50000.0,3.6,0.912,7.4,3.0,35,False,3,53,51,49,Fail
Female,18,2,25000.0,2.7,0.937,7.0,6.0,54,False,2,55,36,40,Fail
Male,17,1,20000.0,3.0,0.924,7.0,4.0,62,True,3,75,53,85,Pass
Female,18,5,60000.0,4.9,0.867,7.5,4.0,56,True,3,90,89,89,Pass
Male,20,7,115000.0,5.5,1.0,6.3,7.0,64,False,3,57,69,74,Pass
Female,19,3,35000.0,3.2,0.859,7.3,5.0,42,False,3,42,58,40,Fail
Female,18,5,65000.0,3.5,0.832,8.1,4.0,69,False,3,50,72,60,Pass
Female,21,3,30000.0,5.5,0.867,7.2,10.0,27,False,2,40,27,33,Fail
Female,20,4,30000.0,5.2,0.929,6.8,7.0,47,False,2,40,45,60,Fail
Male,20,4,65000.0,3.3,0.903,6.3,5.0,29,False,3,62,18,45,Fail
Female,18,2,30000.0,2.7,0.835,7.1,4.0,41,False,3,48,40,48,Fail
Male,19,6,55000.0,3.9,0.993,7.1,7.0,59,True,3,78,83,82,Pass
Male,18,5,50000.0,4.8,0.909,8.0,5.0,34,True,3,70,77,71,Pass
Female,16,7,85000.0,4.6,0.929,7.7,7.0,60,True,3,82,76,62,Pass
Female,16,3,20000.0,3.6,0.932,6.1,6.0,43,False,3,44,42,41,Fail
Female,19,5,165000.0,5.1,0.885,7.5,7.0,75,False,4,69,90,87,Pass
Female,15,2,30000.0,3.0,0.786,8.5,5.0,21,False,3,52,49,43,Fail
Female,16,6,30000.0,4.0,0.897,8.1,5.0,78,True,4,90,96,77,Pass
Female,19,2,15000.0,3.3,0.839,5.9,5.0,42,True,2,50,46,33,Fail
Female,19,2,20000.0,3.0,0.962,8.3,3.0,45,True,3,66,79,84,Pass
Female,15,3,20000.0,4.3,0.902,5.9,5.0,57,False,2,57,56,62,Fail
Male,21,3,50000.0,5.3,0.815,5.3,9.0,51,False,3,24,24,21,Fail
Female,18,5,35000.0,3.9,0.98,7.9,6.0,38,False,3,59,60,43,Fail
Female,17,3,15000.0,3.7,0.842,6.9,5.0,28,False,2,35,48,48,Fail
Female,17,5,25000.0,4.3,0.932,9.4,4.0,64,False,2,80,85,89,Pass
Male,19,2,25000.0,3.8,0.922,8.4,4.0,47,False,2,74,60,43,Fail
Male,17,2,30000.0,3.5,0.871,6.6,6.0,27,True,2,49,53,71,Fail
Male,16,6,120000.0,5.3,0.989,6.8,3.0,63,False,3,92,94,88,Pass
Male,20,4,50000.0,3.2,0.88,6.6,5.0,55,False,2,41,45,36,Fail
Female,19,5,25000.0,4.0,0.87,8.1,5.0,56,False,2,70,50,66,Pass
Male,22,5,65000.0,4.5,0.834,6.6,4.0,53,False,3,66,78,58,Pass
Male,16,5,45000.0,3.9,0.809,6.8,7.0,31,True,3,36,53,55,Fail
Female,19,2,25000.0,3.5,0.864,7.6,7.0,38,False,3,49,45,35,Fail
Male,18,4,40000.0,4.7,0.933,7.1,6.0,41,False,2,71,52,38,Fail
Male,20,4,60000.0,3.6,0.885,7.1,7.0,18,False,3,27,32,29,Fail
Female,19,5,45000.0,4.0,0.85,8.1,4.0,70,False,4,65,76,79,Pass
Female,17,4,20000.0,3.2,1.0,6.9,7.0,27,False,2,27,37,39,Fail
Female,18,5,60000.0,3.7,0.884,8.9,4.0,66,False,3,72,77,85,Pass
Female,18,5,55000.0,4.1,0.78,8.5,2.0,62,True,2,100,74,89,Pass
Female,21,4,20000.0,6.0,1.0,8.5,5.0,58,False,2,100,74,82,Pass
Male,20,2,45000.0,3.2,0.81,8.2,3.0,44,False,2,55,35,54,Fail
Female,20,4,45000.0,4.7,0.832,5.6,9.0,44,False,2,18,37,15,Fail
Female,19,2,20000.0,3.2,0.904,8.3,5.0,60,False,2,63,58,52,Fail
Female,16,3,15000.0,3.3,0.864,7.6,4.0,33,False,3,42,49,36,Fail
Male,19,4,75000.0,4.2,0.803,6.4,6.0,43,False,3,49,54,31,Fail
Male,18,5,65000.0,4.1,0.927,7.8,5.0,56,True,3,79,89,78,Pass
Male,20,4,50000.0,3.2,0.847,7.9,5.0,55,False,3,62,43,50,Fail
Female,17,1,30000.0,2.6,0.948,7.6,6.0,28,False,3,42,25,43,Fail
Female,17,1,90000.0,5.7,0.948,7.3,6.0,38,True,4,98,83,82,Pass
Male,21,1,,3.6,0.792,7.3,6.0,47,False,3,56,42,60,Fail
Female,17,3,50000.0,2.9,0.829,8.0,5.0,55,False,2,47,48,42,Fail
Female,19,1,20000.0,2.4,0.825,7.2,7.0,14,False,2,32,10,10,Fail
Female,18,2,35000.0,3.8,0.822,8.5,6.0,24,False,4,61,56,54,Fail
Male,18,6,70000.0,4.9,0.798,6.2,5.0,80,False,3,93,68,57,Pass
Female,22,2,40000.0,3.2,0.841,6.1,5.0,40,True,3,68,44,48,Fail
Female,18,4,20000.0,3.3,0.818,6.4,5.0,59,True,2,67,65,65,Pass
Female,21,5,55000.0,3.9,0.996,7.3,3.0,60,False,4,83,88,75,Pass
Female,18,5,65000.0,4.4,0.959,7.6,7.0,50,False,2,55,66,56,Fail
Female,17,3,40000.0,4.1,0.843,8.7,5.0,55,False,3,58,76,63,Pass
Male,15,1,30000.0,2.7,0.88,8.3,4.0,44,False,4,65,53,41,Fail
Female,20,2,35000.0,2.8,0.946,7.3,6.0,32,False,2,35,28,43,Fail
Male,16,3,25000.0,4.5,1.0,7.9,4.0,43,True,3,88,93,79,Pass
Female,21,6,130000.0,4.5,0.792,8.8,6.0,81,False,4,67,63,94,Pass
Female,17,3,25000.0,2.9,0.87,7.9,4.0,42,False,3,44,34,54,Fail
Female,15,6,90000.0,3.7,0.848,7.6,6.0,49,True,3,86,73,62,Pass
Female,20,3,15000.0,3.7,0.918,6.8,4.0,34,False,2,53,64,53,Fail
Male,17,4,110000.0,3.6,0.816,8.2,6.0,49,True,3,72,70,73,Pass
Male,17,4,40000.0,4.5,0.855,7.4,6.0,61,False,3,77,55,75,Pass
Female,20,2,15000.0,4.0,0.971,7.5,4.0,32,False,3,59,58,54,Fail
Male,16,2,25000.0,4.3,0.848,7.1,3.0,36,False,3,54,68,61,Pass
Male,19,2,25000.0,2.6,0.846,9.4,2.0,74,True,2,92,100,91,Pass
Female,16,4,25000.0,4.0,0.872,9.8,3.0,80,True,1,100,86,99,Pass
Male,20,6,35000.0,4.3,1.0,7.9,5.0,60,False,2,67,74,81,Pass
Male,18,7,45000.0,4.5,0.935,8.7,4.0,72,False,4,90,90,85,Pass
Male,18,2,30000.0,2.7,0.907,7.3,4.0,66,False,3,57,62,68,Pass
Female,16,1,35000.0,2.7,0.885,7.5,3.0,43,False,3,59,55,65,Fail
Male,19,6,105000.0,4.0,0.987,7.3,6.0,39,False,3,57,58,67,Pass
Female,16,4,,3.8,0.859,8.3,4.0,47,False,3,61,59,61,Pass
Female,17,3,25000.0,3.4,0.948,9.9,5.0,54,True,2,92,84,89,Pass
Male,18,5,65000.0,5.4,0.88,7.0,6.0,60,False,3,81,62,91,Pass
Female,20,3,30000.0,3.2,0.835,8.1,3.0,55,False,3,58,57,55,Fail
Male,18,4,70000.0,3.8,1.0,8.5,5.0,42,True,2,64,72,62,Pass
Female,17,5,75000.0,3.4,0.815,8.3,5.0,58,False,3,62,59,51,Fail
Male,18,5,70000.0,3.4,0.968,7.6,5.0,55,False,4,71,54,45,Fail
Male,18,4,,4.1,0.989,8.6,5.0,79,False,3,95,90,91,Pass
Male,20,2,30000.0,4.2,0.834,8.1,5.0,42,False,3,53,49,47,Fail
Male,18,2,30000.0,3.4,0.86,8.6,4.0,44,False,3,40,60,42,Fail
Female,18,7,60000.0,5.5,0.966,6.8,5.0,64,False,3,79,72,78,Pass
Male,17,2,20000.0,2.6,0.805,8.1,4.0,45,True,3,53,47,66,Fail
Female,20,4,50000.0,6.9,0.925,7.1,5.0,46,False,3,87,84,88,Pass
Male,15,2,15000.0,2.8,0.901,7.2,4.0,44,False,1,48,60,49,Fail
Female,17,5,55000.0,5.5,0.867,7.7,4.0,60,False,3,87,78,76,Pass
Female,17,3,30000.0,3.1,0.904,8.3,6.0,36,True,1,54,72,46,Fail
Male,17,6,65000.0,3.8,0.982,8.2,5.0,57,False,3,76,73,76,Pass
Female,20,2,25000.0,2.7,0.876,7.9,8.0,33,False,3,42,29,22,Fail
Female,18,1,40000.0,2.4,0.832,7.3,6.0,44,False,3,33,37,27,Fail
Female,18,2,20000.0,2.6,0.939,7.9,4.0,41,False,3,63,33,38,Fail
Female,20,2,15000.0,2.8,0.905,7.3,5.0,38,False,3,37,50,47,Fail
Female,18,2,30000.0,3.6,0.901,7.7,4.0,14,True,3,64,52,59,Fail
Male,18,4,55000.0,3.3,0.918,8.9,5.0,42,True,3,54,72,47,Fail
Female,20,2,25000.0,3.3,0.885,8.5,6.0,41,False,4,61,49,51,Fail
Male,20,7,,4.3,0.95,6.7,6.0,63,False,4,64,69,68,Pass
Female,19,5,70000.0,4.9,0.982,6.9,7.0,53,False,3,60,68,61,Pass
Female,17,6,60000.0,3.7,0.96,8.8,5.0,44,False,3,69,66,72,Pass
Female,19,3,25000.0,3.0,0.795,8.0,5.0,36,False,3,57,46,36,Fail
Female,17,3,50000.0,3.2,0.936,7.7,6.0,48,False,3,70,53,62,Pass
Male,17,4,90000.0,5.3,0.867,6.7,7.0,41,False,5,66,61,66,Pass
Female,18,3,50000.0,2.9,0.889,7.8,3.0,56,True,3,66,81,86,Pass
Male,18,5,60000.0,3.6,0.973,7.9,5.0,48,False,3,51,57,58,Fail
Female,16,4,40000.0,3.8,0.895,9.1,3.0,46,False,3,75,67,71,Pass
Female,15,3,45000.0,3.2,1.0,7.3,4.0,61,True,3,67,70,66,Pass
Male,17,3,25000.0,4.1,0.852,8.0,6.0,35,True,2,69,63,62,Pass
Female,19,3,40000.0,3.1,0.915,6.9,5.0,31,False,2,48,50,46,Fail
Male,18,2,45000.0,2.8,0.949,7.3,4.0,39,False,4,58,58,45,Fail
Female,20,4,35000.0,3.6,0.969,7.1,9.0,35,True,2,32,55,40,Fail
Female,18,1,25000.0,4.0,0.849,7.4,3.0,63,False,2,67,60,69,Pass
Female,19,4,15000.0,3.5,0.872,8.3,6.0,53,False,3,57,66,57,Pass
Female,18,2,15000.0,3.2,0.88,7.6,5.0,22,False,3,31,33,49,Fail
Male,18,5,55000.0,3.9,0.87,6.6,,70,False,3,84,72,69,Pass
Male,17,3,95000.0,2.9,0.884,8.4,6.0,57,True,3,84,59,61,Pass
Male,18,5,100000.0,3.8,0.801,7.4,5.0,51,True,5,67,70,68,Pass
Male,17,4,25000.0,3.3,0.907,7.8,6.0,54,True,4,82,69,61,Pass
Male,18,4,65000.0,3.3,0.858,8.1,2.0,44,False,3,58,48,72,Fail
Female,20,6,50000.0,5.6,0.95,7.7,5.0,72,True,2,100,100,100,Pass
Female,19,5,75000.0,4.8,0.961,9.3,4.0,30,False,2,76,48,68,Pass
Male,17,2,20000.0,3.5,0.943,9.2,5.0,22,True,4,73,63,66,Pass
Female,17,7,200000.0,6.4,0.884,6.7,6.0,72,False,4,100,86,80,Pass
Female,18,2,60000.0,2.8,0.922,7.5,5.0,59,False,3,48,75,29,Fail
Male,20,6,70000.0,3.9,0.936,6.4,6.0,40,False,3,44,44,48,Fail
Female,19,3,35000.0,3.1,0.815,7.3,8.0,46,False,4,25,31,26,Fail
Male,20,3,45000.0,3.2,0.961,8.8,4.0,42,True,3,85,82,86,Pass
Female,20,3,15000.0,3.3,0.914,7.4,4.0,32,False,3,61,56,64,Pass
Female,21,3,40000.0,3.5,0.858,7.2,4.0,61,False,2,67,60,62,Pass
Male,19,3,70000.0,4.9,0.868,7.3,4.0,57,True,3,96,85,100,Pass
Male,18,2,40000.0,3.0,0.901,9.0,6.0,49,False,3,49,59,57,Fail
Female,22,3,35000.0,2.9,0.879,7.3,4.0,41,False,3,40,27,40,Fail
Male,18,1,15000.0,3.2,0.883,8.2,4.0,30,False,2,49,60,36,Fail
Female,16,6,45000.0,5.6,0.936,7.1,6.0,52,False,2,57,81,72,Pass
Female,16,3,50000.0,3.1,0.908,8.4,6.0,26,False,3,34,50,39,Fail
Male,18,3,15000.0,3.8,0.85,7.8,4.0,44,False,3,51,50,51,Fail
Female,17,1,15000.0,3.3,0.892,8.7,5.0,35,False,3,61,42,58,Fail
Female,20,2,20000.0,2.9,0.877,8.5,,49,False,4,60,62,50,Fail
Male,15,2,25000.0,2.6,0.863,7.4,6.0,36,True,3,36,66,58,Fail
Female,17,3,25000.0,2.9,0.905,7.0,4.0,47,False,2,43,41,55,Fail
Female,19,5,75000.0,3.8,0.853,,5.0,46,True,4,77,59,71,Pass
Female,17,5,65000.0,4.0,0.92,9.5,5.0,55,False,2,76,80,75,Pass
Male,19,2,40000.0,3.4,0.778,8.7,5.0,32,False,4,66,39,41,Fail
Male,20,3,20000.0,4.5,0.885,8.5,7.0,53,False,3,48,60,51,Fail
Female,20,4,40000.0,3.4,0.977,7.2,6.0,50,False,3,49,57,53,Fail
Female,18,3,60000.0,5.2,0.893,5.6,5.0,48,True,2,59,67,47,Fail
Male,20,6,105000.0,4.8,0.911,7.7,5.0,58,False,4,84,77,91,Pass
Female,17,2,25000.0,2.7,0.862,7.9,5.0,50,False,3,52,41,36,Fail
Female,18,4,35000.0,3.2,0.765,5.8,5.0,61,False,2,47,47,28,Fail
Male,18,3,30000.0,4.1,0.883,7.1,6.0,37,False,2,43,33,26,Fail
Female,19,3,55000.0,3.3,0.878,7.7,6.0,54,False,4,60,62,47,Fail
Female,19,2,30000.0,2.7,0.878,8.9,3.0,35,False,3,55,43,60,Fail
Female,16,3,35000.0,3.6,0.835,7.0,,51,False,3,50,68,44,Fail
Female,20,6,80000.0,4.1,0.887,8.2,3.0,58,False,3,76,76,74,Pass
Female,17,6,75000.0,5.8,0.977,6.3,5.0,52,False,3,65,85,72,Pass
Female,16,5,35000.0,4.3,0.919,7.7,4.0,65,False,2,70,65,68,Pass
Female,19,1,35000.0,2.9,0.91,7.6,4.0,47,False,4,56,47,49,Fail
Male,20,6,80000.0,3.9,0.976,,4.0,76,True,4,100,95,100,Pass
Male,20,2,35000.0,4.5,0.956,7.3,4.0,58,True,3,91,87,85,Pass
Female,16,2,30000.0,2.6,0.831,7.5,4.0,56,False,3,55,57,63,Fail
Female,17,3,35000.0,3.9,0.884,7.1,7.0,36,False,2,57,33,47,Fail
Male,16,5,180000.0,3.6,0.881,7.3,5.0,59,False,4,55,82,57,Pass
Male,18,3,30000.0,3.8,1.0,6.0,6.0,17,False,3,37,30,20,Fail
Male,20,1,20000.0,2.7,0.859,8.3,4.0,31,False,3,55,46,36,Fail
Female,20,3,65000.0,3.5,0.929,6.1,6.0,39,True,3,66,48,53,Fail
Female,21,7,90000.0,4.1,0.931,6.9,6.0,71,False,3,72,68,66,Pass
Female,21,6,40000.0,4.0,0.894,7.0,4.0,46,True,4,86,91,82,Pass
Male,19,2,25000.0,3.2,0.893,8.2,4.0,52,True,3,58,77,80,Pass
Female,18,5,70000.0,3.5,0.932,7.9,4.0,76,True,4,100,86,100,Pass
Male,17,1,40000.0,2.9,0.875,8.4,4.0,40,False,3,66,59,44,Fail
Male,19,2,50000.0,2.6,0.827,8.2,4.0,30,False,4,44,48,35,Fail
Male,20,4,30000.0,3.3,0.924,8.1,6.0,62,False,2,62,38,65,Fail
Female,18,2,45000.0,3.8,0.777,8.4,6.0,38,False,3,44,41,44,Fail
Female,18,4,30000.0,3.1,0.888,7.6,3.0,62,True,3,87,100,84,Pass
Male,19,5,55000.0,3.7,0.871,7.5,4.0,42,False,3,53,58,48,Fail
Male,19,2,15000.0,3.0,0.963,6.7,6.0,36,False,3,53,43,52,Fail
Female,16,3,30000.0,3.0,0.855,8.5,4.0,48,False,3,58,61,69,Pass
Male,15,1,15000.0,2.6,0.846,8.1,3.0,27,False,3,44,25,56,Fail
Female,20,3,25000.0,4.6,0.87,7.3,5.0,33,True,3,64,82,59,Pass
Male,16,2,30000.0,3.9,0.923,8.3,6.0,23,False,2,48,33,34,Fail
Male,20,2,25000.0,3.3,0.831,6.4,6.0,26,True,3,44,54,44,Fail
Male,18,4,55000.0,4.3,0.796,8.0,4.0,39,True,2,63,81,60,Pass
Female,20,5,25000.0,3.5,0.785,6.4,8.0,47,True,3,42,61,54,Fail
Male,20,3,15000.0,3.0,0.968,8.3,4.0,40,False,2,47,60,59,Fail
Male,19,5,115000.0,3.4,0.883,7.9,6.0,55,True,3,84,61,58,Pass
Female,20,5,35000.0,4.0,0.845,8.3,8.0,47,True,2,56,59,60,Fail
Male,17,2,60000.0,2.8,0.88,7.7,2.0,67,False,3,50,77,67,Pass
Female,20,4,60000.0,3.4,0.962,8.1,5.0,86,False,3,82,83,81,Pass
Male,21,1,30000.0,3.3,1.0,6.7,7.0,36,False,3,61,30,48,Fail
Female,19,5,,3.9,0.822,9.1,3.0,56,False,3,57,61,63,Pass
Male,17,4,75000.0,3.8,0.841,7.7,5.0,51,False,3,73,63,59,Pass
Female,18,4,40000.0,4.8,0.967,8.4,6.0,30,False,3,68,72,56,Pass
Female,16,2,15000.0,4.5,0.955,7.6,5.0,10,True,2,68,51,62,Pass
Female,20,2,15000.0,2.6,0.894,6.1,5.0,75,False,4,60,42,66,Fail
Female,17,2,30000.0,3.5,0.871,7.2,3.0,43,False,3,49,66,48,Fail
Male,19,5,55000.0,3.9,0.865,9.0,3.0,75,False,3,78,81,78,Pass
Male,15,5,115000.0,4.4,0.827,9.1,5.0,46,True,4,88,75,87,Pass
Female,19,7,110000.0,4.9,0.976,8.3,4.0,78,False,4,99,99,96,Pass
Female,20,3,25000.0,3.0,0.843,8.2,3.0,73,True,2,89,63,100,Pass
Female,16,1,15000.0,3.7,0.846,9.6,4.0,40,False,3,62,45,43,Fail
Female,20,3,60000.0,3.4,0.936,5.7,7.0,44,False,3,28,20,43,Fail
Female,15,5,65000.0,4.1,0.888,7.3,5.0,52,False,3,61,62,65,Pass
Female,18,3,20000.0,3.0,0.805,8.4,4.0,68,False,3,73,64,70,Pass
Female,15,2,85000.0,2.9,0.876,7.3,2.0,44,True,3,71,69,78,Pass
Female,19,5,,3.7,0.824,7.8,5.0,47,False,3,50,66,55,Fail
Male,17,3,25000.0,3.2,0.755,7.9,5.0,42,False,3,54,46,41,Fail
Female,18,3,35000.0,3.1,0.975,8.3,4.0,30,True,3,74,82,61,Pass
Female,19,6,80000.0,4.3,0.927,7.9,4.0,53,False,4,62,72,64,Pass
Male,16,4,15000.0,4.8,0.932,6.9,7.0,40,True,3,74,64,71,Pass
Female,18,5,145000.0,3.9,0.845,6.9,8.0,29,True,4,56,64,65,Pass
Female,15,7,125000.0,4.0,0.865,9.3,4.0,63,False,3,61,89,78,Pass
Male,18,2,15000.0,2.9,0.81,8.4,4.0,29,False,2,56,50,41,Fail
Female,18,6,65000.0,3.9,0.898,8.1,6.0,61,False,3,88,66,51,Pass
Male,17,6,90000.0,5.9,0.921,8.7,5.0,47,False,3,74,77,76,Pass
Male,19,5,80000.0,4.3,0.94,8.1,4.0,52,False,4,81,99,86,Pass
Female,18,5,60000.0,5.6,0.916,8.9,6.0,43,False,3,83,87,65,Pass
Female,16,6,40000.0,5.5,0.929,8.8,6.0,78,False,2,83,92,92,Pass
Female,18,4,75000.0,3.5,0.904,8.9,3.0,58,True,4,89,100,100,Pass
Male,15,5,100000.0,3.8,0.866,8.0,3.0,46,True,2,76,85,82,Pass
Female,16,6,110000.0,4.3,0.794,7.1,6.0,51,False,4,47,67,39,Fail
Male,19,5,35000.0,3.5,0.955,6.8,6.0,62,True,2,83,77,62,Pass
Female,18,6,80000.0,3.8,0.918,9.0,3.0,58,False,3,76,77,70,Pass
Male,19,2,15000.0,2.9,0.912,9.1,5.0,36,False,2,45,68,48,Fail
Female,16,4,50000.0,3.2,0.889,7.5,4.0,56,False,2,59,57,57,Fail
Male,21,2,25000.0,3.2,0.87,5.5,6.0,37,False,3,26,40,28,Fail
Male,21,5,50000.0,4.5,0.894,6.6,4.0,35,False,4,65,67,55,Pass
Male,18,6,200000.0,3.8,0.882,5.3,6.0,63,False,4,69,38,66,Fail
Female,21,6,85000.0,4.2,0.879,7.1,7.0,55,True,3,71,58,59,Pass
Female,16,1,40000.0,2.3,0.87,7.2,7.0,10,False,3,19,16,32,Fail
Female,20,2,50000.0,2.7,0.918,5.5,3.0,70,False,3,61,63,76,Pass
Male,19,2,15000.0,2.7,0.892,7.1,5.0,32,False,3,37,33,36,Fail
Male,16,5,150000.0,3.6,1.0,8.2,5.0,39,False,4,78,79,58,Pass
Female,18,2,60000.0,4.3,0.927,8.2,3.0,40,False,1,63,60,64,Pass
Male,19,2,70000.0,3.4,0.945,7.6,2.0,38,False,2,51,61,51,Fail
Female,19,6,80000.0,4.0,0.865,7.4,7.0,51,True,2,63,77,73,Pass
Female,19,1,25000.0,2.5,0.815,7.8,6.0,53,False,3,34,42,56,Fail
Female,19,5,45000.0,8.0,1.0,9.4,7.0,68,False,4,100,100,100,Pass
Female,18,4,35000.0,3.2,0.867,6.0,7.0,22,True,2,45,49,33,Fail
Male,18,5,160000.0,3.8,0.874,7.0,7.0,53,True,2,56,69,68,Pass
Male,16,2,20000.0,2.8,0.803,8.8,3.0,60,False,2,59,63,64,Pass
Female,18,2,20000.0,2.7,0.768,6.5,5.0,44,True,3,52,62,59,Fail
Male,18,2,70000.0,2.8,0.808,8.8,3.0,45,False,3,52,72,58,Pass
Female,17,4,70000.0,6.0,0.913,8.6,7.0,43,False,2,72,57,36,Fail
Female,18,4,45000.0,3.3,0.972,8.3,3.0,39,False,3,78,42,64,Pass
Male,20,2,30000.0,3.1,0.858,7.6,6.0,40,False,3,50,25,39,Fail
Female,19,3,25000.0,6.2,0.961,7.8,6.0,58,False,4,92,97,79,Pass
Male,18,6,85000.0,3.8,0.804,8.6,3.0,94,False,3,93,95,66,Pass
Female,20,5,60000.0,3.6,0.898,7.1,6.0,56,False,3,61,62,48,Fail
Male,16,5,,4.1,0.977,8.6,5.0,65,True,2,83,91,73,Pass
Female,18,3,35000.0,6.2,0.938,6.8,6.0,46,False,3,69,66,74,Pass
Male,21,2,15000.0,3.1,0.86,8.2,7.0,37,False,3,45,50,30,Fail
Male,17,5,40000.0,3.5,0.836,7.0,4.0,48,True,2,62,57,85,Pass
Male,15,2,,2.9,0.935,9.8,5.0,28,False,3,65,52,42,Fail
Male,20,2,30000.0,4.1,0.906,7.4,6.0,45,False,2,70,49,46,Fail
Female,17,6,80000.0,3.8,0.908,7.8,5.0,62,False,3,60,85,65,Pass
Male,19,4,20000.0,3.2,0.829,7.7,5.0,38,False,3,31,57,43,Fail
Male,16,2,55000.0,2.7,0.914,7.3,3.0,57,False,3,46,52,61,Fail
Male,18,2,35000.0,2.6,0.881,10.2,3.0,45,True,4,82,95,85,Pass
Male,16,4,45000.0,3.4,0.956,7.0,7.0,51,False,2,73,42,45,Fail
Male,21,4,20000.0,4.1,0.858,7.1,5.0,65,False,2,78,67,62,Pass
Male,19,3,30000.0,3.7,0.931,7.9,6.0,44,False,3,40,56,56,Fail
Female,17,1,25000.0,3.0,0.817,7.3,5.0,16,False,3,40,41,42,Fail
Female,15,5,40000.0,3.8,0.855,7.0,6.0,52,False,2,69,64,44,Fail
Female,18,5,40000.0,3.7,0.931,6.3,8.0,41,False,4,29,40,45,Fail
Male,19,1,25000.0,2.5,0.938,7.4,5.0,36,False,2,50,14,37,Fail
Female,18,4,110000.0,3.3,0.795,9.9,3.0,51,False,4,71,71,79,Pass
Female,18,1,25000.0,3.4,0.793,8.4,4.0,33,True,3,60,43,69,Fail
Female,20,4,125000.0,4.3,0.938,6.3,6.0,61,False,3,69,71,61,Pass
Male,20,1,30000.0,3.0,0.85,5.6,4.0,62,False,3,38,33,51,Fail
Male,18,4,30000.0,3.2,0.833,,5.0,86,False,2,71,64,62,Pass
Male,18,2,15000.0,2.7,0.952,7.6,,50,False,4,41,35,79,Fail
Male,22,5,50000.0,3.9,0.917,6.0,6.0,36,True,4,66,54,53,Fail
Female,16,2,15000.0,3.3,0.957,7.5,5.0,19,True,2,61,53,42,Fail
Male,15,5,65000.0,3.7,0.873,7.2,5.0,35,True,3,63,89,59,Pass
Male,21,3,60000.0,3.6,0.919,6.8,5.0,24,False,3,25,39,47,Fail
Male,21,3,45000.0,3.0,0.936,7.5,2.0,73,False,3,87,69,70,Pass
Male,20,3,50000.0,4.5,0.808,8.4,6.0,43,True,3,75,77,65,Pass
Male,16,2,20000.0,3.3,0.887,7.5,1.0,38,False,2,58,50,71,Fail
Male,17,3,55000.0,3.2,0.919,8.9,4.0,31,False,3,63,57,63,Pass
Female,19,5,45000.0,4.4,0.919,6.5,6.0,58,False,3,54,69,45,Fail
Male,19,3,25000.0,3.3,0.889,8.0,5.0,43,False,4,74,60,56,Pass
Female,18,6,65000.0,6.4,0.903,7.5,5.0,53,False,4,85,88,77,Pass
Female,20,3,30000.0,4.2,0.833,7.9,5.0,67,False,3,69,77,69,Pass
Female,16,4,110000.0,3.6,0.808,9.3,3.0,76,False,4,95,73,79,Pass
Female,15,3,70000.0,4.6,0.822,8.0,4.0,50,False,3,81,63,60,Pass
Male,19,3,35000.0,2.9,0.859,7.6,6.0,47,False,2,38,63,40,Fail
Female,17,5,75000.0,3.6,0.896,7.3,8.0,40,False,4,40,16,51,Fail
Female,20,2,40000.0,2.7,0.81,5.9,7.0,37,False,3,29,6,31,Fail
Female,15,3,75000.0,3.5,0.918,7.5,6.0,46,False,3,55,64,49,Fail
Male,17,3,70000.0,3.2,0.868,7.9,4.0,53,False,3,52,71,76,Pass
Female,21,5,20000.0,3.5,0.84,6.1,6.0,53,False,3,41,31,45,Fail
Male,18,3,35000.0,3.4,0.961,9.7,5.0,47,False,3,62,75,61,Pass
Female,16,5,55000.0,4.1,0.943,8.4,5.0,39,False,3,64,69,77,Pass
Male,19,2,30000.0,3.0,0.899,7.5,5.0,43,True,3,66,79,62,Pass
Male,18,3,35000.0,3.3,0.914,10.0,7.0,41,False,3,63,45,61,Fail
Female,22,6,45000.0,3.9,0.931,5.7,8.0,64,False,3,57,49,46,Fail
Female,15,5,25000.0,3.6,0.855,9.4,6.0,52,True,3,61,64,69,Pass
Female,19,5,75000.0,3.8,0.943,7.3,6.0,49,True,3,78,84,79,Pass
Female,19,5,85000.0,3.6,0.858,7.9,3.0,58,False,3,89,58,80,Pass
Female,18,3,40000.0,3.6,0.857,8.9,3.0,46,False,3,56,59,58,Fail
Male,16,6,50000.0,4.0,0.841,6.6,5.0,45,False,3,39,48,43,Fail
Female,19,6,85000.0,4.4,0.828,7.4,6.0,31,False,4,42,49,43,Fail
Male,18,3,65000.0,4.2,0.877,8.2,5.0,35,False,3,46,53,59,Fail
Male,16,5,40000.0,3.5,0.936,8.3,5.0,66,False,3,72,67,68,Pass
Female,21,1,15000.0,2.9,0.932,6.2,6.0,21,False,3,11,17,11,Fail
Male,18,3,45000.0,3.6,0.826,8.3,6.0,41,False,4,56,34,55,Fail
Female,19,3,40000.0,3.0,0.943,6.7,6.0,39,False,2,47,30,32,Fail
Male,15,3,15000.0,2.9,0.818,8.1,3.0,60,True,3,73,84,74,Pass
Male,17,2,20000.0,3.1,0.911,8.0,5.0,45,False,2,65,33,26,Fail
